"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3940","should allow a standard user to add a product to cart and complete checkout successfully","UC-1 Checkout Flow","2026-03-25","passed","2026-03-25","","","",""
"","4705","should complete checkout successfully for a selected product","UC-1 Checkout Flow","2026-03-24","passed","2026-03-24","","","",""
"","4634","should complete checkout successfully for a selected product","UC-1 Checkout Flow","2026-03-24","passed","2026-03-24","","","",""
"","965","should validate login for locked_out_user","UC-2 Data Driven Login","2026-03-24","passed","2026-03-24","","","",""
"","1588","should allow standard_user to log in successfully","UC-2 Data-Driven Login Validation","2026-03-25","passed","2026-03-25","","","",""
"","1742","should validate login for standard_user","UC-2 Data Driven Login","2026-03-24","passed","2026-03-24","","","",""
"","1924","should validate login for standard_user","UC-2 Data Driven Login","2026-03-24","passed","2026-03-24","","","",""
"","2334","should validate login for locked_out_user","UC-2 Data Driven Login","2026-03-24","passed","2026-03-24","","","",""
"","827","should display an error message for locked_out_user","UC-2 Data-Driven Login Validation","2026-03-25","passed","2026-03-25","","","",""
"","1085","should display an error message for locked_out_user","UC-2 Data-Driven Login Validation","2026-03-25","passed","2026-03-25","","","",""
"","4970","should allow a standard user to add a product to cart and complete checkout successfully","UC-1 Checkout Flow","2026-03-25","passed","2026-03-25","","","",""
"","1864","should allow standard_user to log in successfully","UC-2 Data-Driven Login Validation","2026-03-25","passed","2026-03-25","","","",""
